year,l2,number_of_students_all_sum,number_of_students_men_sum,number_of_students_women_sum,number_of_students_unknown_sum,number_of_workers_all_sum,median_weekly_earnings_all_mean,number_of_workers_men_sum,median_weekly_earnings_men_mean,number_of_workers_women_sum,median_weekly_earnings_women_mean
2014,Personal care and service occupations,0.0,0.0,0.0,0.0,2326,298.35,632,132.75,1694,137.0
2014,Production occupations,0.0,0.0,0.0,0.0,7406,199.375,5473,181.6875,1928,68.7125
2014,Professional and related occupations,6016.0,3036.0,2980.0,0.0,25610,5560.125085358323,11474,3897.8238778765094,14119,3438.7530161041605
2014,Protective service occupations,0.0,0.0,0.0,0.0,2741,507.27777777777777,2211,461.8333333333333,529,108.0
2014,Sales and related occupations,0.0,0.0,0.0,0.0,9626,599.7777777777778,5413,607.7222222222222,4217,435.1111111111111
2014,Transportation and material moving occupations,0.0,0.0,0.0,0.0,6845,323.1666666666667,5927,280.3888888888889,920,55.5
2015,Building and grounds cleaning and maintenance occupations,0.0,0.0,0.0,0.0,3603,541.0,2330,573.1666666666666,1274,234.5
2015,Construction and extraction occupations,0.0,0.0,0.0,0.0,5721,334.025,5588,335.3,135,0.0
2015,"Farming, fishing, and forestry occupations",0.0,0.0,0.0,0.0,809,103.44444444444444,636,51.111111111111114,174,96.22222222222223
2015,Food preparation and serving related occupations,0.0,0.0,0.0,0.0,4124,412.46153846153845,2133,336.84615384615387,1993,300.3076923076923
2015,Healthcare support occupations,118.0,6.0,112.0,0.0,2394,304.90909090909093,320,47.81818181818182,2076,232.1818181818182
2015,"Installation, maintenance, and repair occupations",0.0,0.0,0.0,0.0,4303,401.4594594594595,4158,403.3243243243243,142,0.0
2015,"Management, business, and financial operations occupations",98.0,56.0,42.0,0.0,18422,1822.5666666666666,10015,1602.9238095238097,8400,1178.5119047619048
2015,Office and administrative support occupations,360.0,224.0,136.0,0.0,13832,470.6862745098039,3937,259.96078431372547,9899,365.15686274509807
2015,Personal care and service occupations,0.0,0.0,0.0,0.0,2427,328.3,665,136.35,1762,176.9
2015,Production occupations,0.0,0.0,0.0,0.0,7472,201.9625,5466,182.6375,1994,83.7125
2015,Professional and related occupations,4480.0,2151.0,2329.0,0.0,26566,6240.334724327287,11894,3856.7986940341634,14664,3435.093363266533
2015,Protective service occupations,0.0,0.0,0.0,0.0,2728,469.3888888888889,2182,385.5,547,122.77777777777777
2015,Sales and related occupations,0.0,0.0,0.0,0.0,9727,626.8888888888889,5424,651.5,4303,465.8333333333333
2015,Transportation and material moving occupations,0.0,0.0,0.0,0.0,6955,306.3888888888889,5999,277.72222222222223,954,57.861111111111114
