year,l1,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,occupation_x,occupation_y,l4,l3,l2,l0
2012,Food preparation and serving related occupations,4163,4990,2189,4047,1975,3616,Chefs and head cooks,Chefs and head cooks,Total,Service occupations,Food preparation and serving related occupations,Chefs and head cooks
2012,Healthcare practitioners and technical occupations,5791,21440,1469,10011,4321,18967,Chiropractors,Chiropractors,Total,"Management, professional, and related occupations",Professional and related occupations,Chiropractors
2012,Healthcare support occupations,2348,2551,290,508,2059,2519,"Nursing, psychiatric, and home health aides","Nursing, psychiatric, and home health aides",Total,Service occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
2012,"Installation, maintenance, and repair occupations",4088,13209,3965,12305,125,0,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers",Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
2012,Legal occupations,1316,5233,600,2974,715,3255,Lawyers,Lawyers,Total,"Management, professional, and related occupations",Professional and related occupations,Lawyers
2012,"Life, physical, and social science occupations",1098,8981,630,7625,467,4006,Agricultural and food scientists,Agricultural and food scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Agricultural and food scientists
2012,Management occupations,11547,27109,6782,27379,4763,15265,Chief executives,Chief executives,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Chief executives
2012,Office and administrative support occupations,13598,22934,3734,12018,9862,18929,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers,Total,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers
2012,Personal care and service occupations,2242,5593,604,2004,1638,3173,First-line supervisors of gaming workers,First-line supervisors of gaming workers,Total,Service occupations,Personal care and service occupations,First-line supervisors of gaming workers
2012,Production occupations,7364,16422,5437,14496,1923,5337,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers,Total,"Production, transportation, and material moving occupations",Production occupations,First-line supervisors of production and operating workers
2012,Protective service occupations,2656,9867,2156,7883,500,1959,First-line supervisors of correctional officers,First-line supervisors of correctional officers,Total,Service occupations,Protective service occupations,First-line supervisors of correctional officers
2012,Sales and related occupations,9434,10750,5427,11650,4004,7574,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers,Total,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers
2012,Transportation and material moving occupations,6415,8899,5571,7946,843,1923,Supervisors of transportation and material moving workers,Supervisors of transportation and material moving workers,Total,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers
2013,Architecture and engineering occupations,2539,15521,2207,14245,332,934,"Architects, except naval","Architects, except naval",Total,"Management, professional, and related occupations",Professional and related occupations,"Architects, except naval"
2013,"Arts, design, entertainment, sports, and media occupations",1507,10617,861,5628,646,2775,Artists and related workers,Artists and related workers,Total,"Management, professional, and related occupations",Professional and related occupations,Artists and related workers
2013,Building and grounds cleaning and maintenance occupations,3421,3358,2279,3591,1142,1335,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers,Total,Service occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
2013,Business and financial operations occupations,5637,25987,2434,17319,3199,15799,"Agents and business managers of artists, performers, and athletes","Agents and business managers of artists, performers, and athletes",Total,"Management, professional, and related occupations","Management, business, and financial operations occupations","Agents and business managers of artists, performers, and athletes"
2013,Community and social service occupations,1912,4977,755,3762,1158,3083,Counselors,Counselors,Total,"Management, professional, and related occupations",Professional and related occupations,Counselors
2013,Computer and mathematical occupations,3768,17682,2801,14768,967,8075,Computer and information research scientists,Computer and information research scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and information research scientists
2013,Construction and extraction occupations,5352,12248,5241,12346,112,0,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers,Total,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,First-line supervisors of construction trades and extraction workers
2013,"Education, training, and library occupations",6589,8080,1807,5989,4780,7692,Postsecondary teachers,Postsecondary teachers,Total,"Management, professional, and related occupations",Professional and related occupations,Postsecondary teachers
2013,"Farming, fishing, and forestry occupations",719,844,575,447,143,741,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers",Total,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers"
2013,Food preparation and serving related occupations,4139,5103,2186,4213,1954,4172,Chefs and head cooks,Chefs and head cooks,Total,Service occupations,Food preparation and serving related occupations,Chefs and head cooks
2013,Healthcare practitioners and technical occupations,6145,23784,1557,10307,4584,20224,Chiropractors,Chiropractors,Total,"Management, professional, and related occupations",Professional and related occupations,Chiropractors
2013,Healthcare support occupations,2325,2604,304,499,2019,2557,"Nursing, psychiatric, and home health aides","Nursing, psychiatric, and home health aides",Total,Service occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
2013,"Installation, maintenance, and repair occupations",4269,15149,4086,15214,179,0,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers",Total,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers"
2013,Legal occupations,1304,3599,597,3922,707,3178,Lawyers,Lawyers,Total,"Management, professional, and related occupations",Professional and related occupations,Lawyers
2013,"Life, physical, and social science occupations",1059,9279,610,7943,457,3424,Agricultural and food scientists,Agricultural and food scientists,Total,"Management, professional, and related occupations",Professional and related occupations,Agricultural and food scientists
2013,Management occupations,11500,27890,6763,26560,4738,16884,Chief executives,Chief executives,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Chief executives
