occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
"Total, full-time wage and salary workers",109080,809,60746,895,48334,726,2015,,,,,
"Management, professional, and related occupations",44844,1158,21807,1383,23038,996,2015,,,,,
"Management, business, and financial operations occupations",18422,1258,10018,1436,8404,1073,2015,,,,,
Management occupations,12480,1351,7332,1486,5147,1139,2015,,,,,
Chief executives,1046,2041,763,2251,283,1836,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Chief executives
General and operations managers,823,1260,621,1347,202,1002,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,General and operations managers
Legislators,8,0,5,0,4,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Legislators
Advertising and promotions managers,55,1050,29,0,26,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Advertising and promotions managers
Marketing and sales managers,948,1462,570,1603,378,1258,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Marketing and sales managers
Public relations and fundraising managers,59,1557,24,0,35,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Public relations and fundraising managers
Administrative services managers,170,1191,96,1451,73,981,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Administrative services managers
Computer and information systems managers,636,1728,466,1817,169,1563,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Computer and information systems managers
Financial managers,1124,1408,551,1732,573,1130,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Financial managers
Compensation and benefits managers,23,0,7,0,16,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Compensation and benefits managers
Human resources managers,254,1365,68,1495,186,1274,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Human resources managers
Training and development managers,37,0,17,0,20,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Training and development managers
Industrial production managers,267,1485,221,1528,45,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Industrial production managers
Purchasing managers,193,1348,109,1404,84,1226,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Purchasing managers
"Transportation, storage, and distribution managers",276,966,224,1006,52,749,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Transportation, storage, and distribution managers"
"Farmers, ranchers, and other agricultural managers",129,769,106,847,23,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Farmers, ranchers, and other agricultural managers"
Construction managers,471,1329,429,1357,42,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Construction managers
Education administrators,778,1423,282,1585,496,1252,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Education administrators
Architectural and engineering managers,110,1899,101,1892,10,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Architectural and engineering managers
Food service managers,763,742,389,820,374,680,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Food service managers
Funeral service managers,13,0,10,0,2,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Funeral service managers
Gaming managers,19,0,13,0,6,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Gaming managers
Lodging managers,123,985,54,1171,68,902,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Lodging managers
Medical and health services managers,592,1210,154,1422,438,1156,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Medical and health services managers
Natural sciences managers,24,0,11,0,13,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Natural sciences managers
Postmasters and mail superintendents,20,0,10,0,10,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Postmasters and mail superintendents
"Property, real estate, and community association managers",401,914,171,1137,230,823,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Property, real estate, and community association managers"
Social and community service managers,305,1022,105,1142,200,965,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Social and community service managers
Emergency management directors,9,0,6,0,3,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Emergency management directors
"Managers, all other",2803,1408,1717,1525,1085,1213,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Managers, all other"
Business and financial operations occupations,5942,1137,2686,1327,3256,1004,2015,,,,,
"Agents and business managers of artists, performers, and athletes",27,0,13,0,14,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Agents and business managers of artists, performers, and athletes"
"Buyers and purchasing agents, farm products",11,0,9,0,2,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Buyers and purchasing agents, farm products"
"Wholesale and retail buyers, except farm products",142,926,73,886,69,985,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Wholesale and retail buyers, except farm products"
"Purchasing agents, except wholesale, retail, and farm products",260,1009,136,1020,124,986,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Purchasing agents, except wholesale, retail, and farm products"
"Claims adjusters, appraisers, examiners, and investigators",317,963,141,1134,176,824,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Claims adjusters, appraisers, examiners, and investigators"
Compliance officers,235,1198,126,1375,109,1025,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Compliance officers
Cost estimators,95,1232,83,1264,12,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Cost estimators
Human resources workers,592,1002,151,1158,441,984,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Human resources workers
"Compensation, benefits, and job analysis specialists",63,998,12,0,50,898,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Compensation, benefits, and job analysis specialists"
Training and development specialists,107,990,42,0,65,1037,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Training and development specialists
Logisticians,111,1028,66,1075,44,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Logisticians
Management analysts,529,1431,291,1519,237,1348,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Management analysts
"Meeting, convention, and event planners",117,859,27,0,90,840,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Meeting, convention, and event planners"
Fundraisers,62,1136,14,0,48,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Fundraisers
Market research analysts and marketing specialists,203,1284,85,1411,118,1239,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Market research analysts and marketing specialists
"Business operations specialists, all other",186,1090,74,1461,112,969,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Business operations specialists, all other"
Accountants and auditors,1464,1132,618,1345,846,988,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Accountants and auditors
Appraisers and assessors of real estate,42,0,21,0,21,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Appraisers and assessors of real estate
Budget analysts,44,0,17,0,28,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Budget analysts
Credit analysts,17,0,8,0,9,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Credit analysts
Financial analysts,295,1426,168,1680,127,1171,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Financial analysts
Personal financial advisors,407,1419,248,1738,159,1033,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Personal financial advisors
Insurance underwriters,106,1149,44,0,63,956,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Insurance underwriters
Financial examiners,17,0,9,0,8,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Financial examiners
Credit counselors and loan officers,313,997,146,1186,166,906,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Credit counselors and loan officers
"Tax examiners and collectors, and revenue agents",59,1051,20,0,39,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Tax examiners and collectors, and revenue agents"
Tax preparers,56,892,19,0,37,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Tax preparers
"Financial specialists, all other",66,1162,25,0,40,0,2015,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Financial specialists, all other"
Professional and related occupations,26423,1112,11789,1343,14634,963,2015,,,,,
Computer and mathematical occupations,4009,1428,3036,1503,973,1245,2015,,,,,
Computer and information research scientists,28,0,23,0,5,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer and information research scientists
Computer systems analysts,499,1389,325,1462,173,1256,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer systems analysts
Information security analysts,67,1538,56,1562,11,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Information security analysts
Computer programmers,450,1438,357,1501,93,1302,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer programmers
"Software developers, applications and systems software",1287,1682,1054,1751,232,1415,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Software developers, applications and systems software"
Web developers,151,1165,98,1233,53,1026,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Web developers
Computer support specialists,396,1079,291,1135,105,908,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer support specialists
Database administrators,90,1536,58,1829,32,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Database administrators
Network and computer systems administrators,208,1242,179,1266,28,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Network and computer systems administrators
Computer network architects,115,1552,100,1577,15,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer network architects
"Computer occupations, all other",490,1227,374,1252,116,1145,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Computer occupations, all other"
Actuaries,24,0,18,0,6,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Actuaries
Mathematicians,6,0,6,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Mathematicians
Operations research analysts,122,1441,59,1574,63,1325,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Operations research analysts
Statisticians,76,1275,37,0,39,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Statisticians
Miscellaneous mathematical science occupations,1,0,1,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Miscellaneous mathematical science occupations
Architecture and engineering occupations,2656,1424,2272,1452,383,1257,2015,,,,,
"Architects, except naval",138,1441,106,1492,31,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Architects, except naval"
"Surveyors, cartographers, and photogrammetrists",29,0,23,0,6,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Surveyors, cartographers, and photogrammetrists"
Aerospace engineers,140,1662,122,1668,18,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Aerospace engineers
Agricultural engineers,5,0,5,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Agricultural engineers
Biomedical engineers,12,0,10,0,2,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Biomedical engineers
Chemical engineers,79,1532,69,1583,10,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Chemical engineers
Civil engineers,316,1460,275,1474,41,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Civil engineers
Computer hardware engineers,72,1876,62,1871,10,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Computer hardware engineers
Electrical and electronics engineers,283,1778,246,1819,37,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Electrical and electronics engineers
Environmental engineers,35,0,26,0,9,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Environmental engineers
"Industrial engineers, including health and safety",205,1447,168,1430,37,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Industrial engineers, including health and safety"
Marine engineers and naval architects,9,0,9,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Marine engineers and naval architects
Materials engineers,36,0,33,0,4,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Materials engineers
Mechanical engineers,316,1534,294,1550,23,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Mechanical engineers
"Mining and geological engineers, including mining safety engineers",15,0,15,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Mining and geological engineers, including mining safety engineers"
Nuclear engineers,5,0,3,0,2,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Nuclear engineers
Petroleum engineers,43,0,39,0,3,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Petroleum engineers
"Engineers, all other",393,1527,339,1537,54,1448,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Engineers, all other"
Drafters,114,977,91,977,23,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Drafters
"Engineering technicians, except drafters",352,963,284,984,68,827,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Engineering technicians, except drafters"
Surveying and mapping technicians,58,1012,54,1031,4,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Surveying and mapping technicians
"Life, physical, and social science occupations",1176,1206,662,1379,514,1067,2015,,,,,
Agricultural and food scientists,22,0,12,0,10,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Agricultural and food scientists
Biological scientists,74,1233,46,0,28,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Biological scientists
Conservation scientists and foresters,23,0,16,0,7,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Conservation scientists and foresters
Medical scientists,151,1250,68,1362,84,1082,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Medical scientists
"Life scientists, all other",1,0,1,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Life scientists, all other"
Astronomers and physicists,14,0,11,0,3,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Astronomers and physicists
Atmospheric and space scientists,8,0,8,0,1,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Atmospheric and space scientists
Chemists and materials scientists,93,1432,61,1496,33,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Chemists and materials scientists
Environmental scientists and geoscientists,90,1423,65,1740,25,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Environmental scientists and geoscientists
"Physical scientists, all other",189,1553,121,1770,68,1170,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Physical scientists, all other"
Economists,29,0,17,0,12,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Economists
Survey researchers,0,0,0,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Survey researchers
Psychologists,114,1367,31,0,83,1189,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Psychologists
Sociologists,0,0,0,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Sociologists
Urban and regional planners,22,0,13,0,9,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Urban and regional planners
Miscellaneous social scientists and related workers,37,0,19,0,19,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Miscellaneous social scientists and related workers
Agricultural and food science technicians,28,0,21,0,7,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Agricultural and food science technicians
Biological technicians,20,0,10,0,10,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Biological technicians
Chemical technicians,75,944,43,0,32,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Chemical technicians
Geological and petroleum technicians,22,0,18,0,4,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Geological and petroleum technicians
Nuclear technicians,2,0,2,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Nuclear technicians
Social science research assistants,3,0,0,0,3,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Social science research assistants
"Miscellaneous life, physical, and social science technicians",157,846,79,1001,78,780,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Miscellaneous life, physical, and social science technicians"
Community and social service occupations,2143,889,776,973,1367,845,2015,,,,,
Counselors,635,904,184,908,451,902,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Counselors
Social workers,677,877,127,943,549,862,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Social workers
Probation officers and correctional treatment specialists,85,967,42,0,43,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Probation officers and correctional treatment specialists
Social and human service assistants,173,676,23,0,149,673,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Social and human service assistants
"Miscellaneous community and social service specialists, including health educators and community health workers",92,831,29,0,63,728,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Miscellaneous community and social service specialists, including health educators and community health workers"
Clergy,376,1002,316,1021,60,924,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Clergy
"Directors, religious activities and education",62,929,31,0,31,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Directors, religious activities and education"
"Religious workers, all other",44,0,23,0,21,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Religious workers, all other"
Legal occupations,1346,1391,624,1877,722,1135,2015,,,,,
Lawyers,803,1886,503,1914,300,1717,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Lawyers
Judicial law clerks,11,0,1,0,10,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Judicial law clerks
"Judges, magistrates, and other judicial workers",54,1952,33,0,20,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,"Judges, magistrates, and other judicial workers"
Paralegals and legal assistants,341,927,47,0,294,910,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Paralegals and legal assistants
Miscellaneous legal support workers,136,770,40,0,97,746,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Miscellaneous legal support workers
"Education, training, and library occupations",6884,956,1849,1144,5034,907,2015,,,,,
Postsecondary teachers,917,1258,516,1405,401,1144,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Postsecondary teachers
Preschool and kindergarten teachers,517,616,11,0,506,618,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Preschool and kindergarten teachers
Elementary and middle school teachers,2806,974,543,1077,2262,957,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Elementary and middle school teachers
Secondary school teachers,1048,1066,438,1149,610,1006,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Secondary school teachers
Special education teachers,297,987,38,0,258,990,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Special education teachers
Other teachers and instructors,378,896,179,1024,199,817,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Other teachers and instructors
"Archivists, curators, and museum technicians",38,0,18,0,20,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Archivists, curators, and museum technicians"
Librarians,130,991,27,0,102,966,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Librarians
Library technicians,18,0,4,0,15,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Library technicians
Teacher assistants,614,541,48,0,565,530,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Teacher assistants
"Other education, training, and library workers",123,1001,28,0,95,1031,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Other education, training, and library workers"
"Arts, design, entertainment, sports, and media occupations",1643,1001,930,1088,713,942,2015,,,,,
Artists and related workers,58,1166,39,0,20,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Artists and related workers
Designers,593,993,301,1099,291,918,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Designers
Actors,12,0,8,0,4,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Actors
Producers and directors,120,1270,67,1340,53,1234,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Producers and directors
"Athletes, coaches, umpires, and related workers",147,780,108,818,39,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Athletes, coaches, umpires, and related workers"
Dancers and choreographers,11,0,2,0,9,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Dancers and choreographers
"Musicians, singers, and related workers",42,0,33,0,9,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Musicians, singers, and related workers"
"Entertainers and performers, sports and related workers, all other",14,0,11,0,3,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers, all other"
Announcers,25,0,21,0,5,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Announcers
"News analysts, reporters and correspondents",56,1218,29,0,27,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","News analysts, reporters and correspondents"
Public relations specialists,120,1211,49,0,71,971,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Public relations specialists
Editors,108,1148,58,1205,50,1125,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Editors
Technical writers,52,1158,22,0,30,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Technical writers
Writers and authors,79,1232,36,0,42,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Writers and authors
Miscellaneous media and communication workers,46,0,16,0,30,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Miscellaneous media and communication workers
Broadcast and sound engineering technicians and radio operators,83,954,77,937,7,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Broadcast and sound engineering technicians and radio operators
Photographers,45,0,24,0,21,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Photographers
"Television, video, and motion picture camera operators and editors",30,0,28,0,1,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Television, video, and motion picture camera operators and editors"
"Media and communication equipment workers, all other",2,0,2,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Media and communication equipment workers, all other"
Healthcare practitioners and technical occupations,6566,1041,1639,1272,4928,991,2015,,,,,
Chiropractors,22,0,15,0,7,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Chiropractors
Dentists,59,1656,39,0,20,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dentists
Dietitians and nutritionists,79,886,9,0,69,879,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dietitians and nutritionists
Optometrists,19,0,6,0,13,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Optometrists
Pharmacists,206,1920,98,2117,108,1811,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Pharmacists
Physicians and surgeons,740,1824,457,1915,283,1533,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physicians and surgeons
Physician assistants,57,1368,17,0,40,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physician assistants
Podiatrists,9,0,5,0,4,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Podiatrists
Audiologists,8,0,1,0,6,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Audiologists
Occupational therapists,74,1210,10,0,64,1199,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Occupational therapists
Physical therapists,178,1265,56,1347,123,1215,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physical therapists
Radiation therapists,12,0,5,0,7,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Radiation therapists
Recreational therapists,6,0,2,0,4,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Recreational therapists
Respiratory therapists,99,1000,32,0,67,937,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Respiratory therapists
Speech-language pathologists,108,1147,1,0,106,1148,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Speech-language pathologists
Exercise physiologists,3,0,3,0,0,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Exercise physiologists
"Therapists, all other",132,944,31,0,101,951,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Therapists, all other"
