occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Loan interviewers and clerks,131,710,31,0,99,692,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Loan interviewers and clerks
New accounts clerks,25,0,4,0,21,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,New accounts clerks
Order clerks,79,600,29,0,51,574,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Order clerks
"Human resources assistants, except payroll and timekeeping",91,754,11,0,80,711,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Human resources assistants, except payroll and timekeeping"
Receptionists and information clerks,910,540,85,616,825,532,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Receptionists and information clerks
Reservation and transportation ticket agents and travel clerks,85,687,37,0,48,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Reservation and transportation ticket agents and travel clerks
"Information and record clerks, all other",75,660,17,0,59,658,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Information and record clerks, all other"
Cargo and freight agents,17,0,12,0,5,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Cargo and freight agents
Couriers and messengers,167,727,142,737,25,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Couriers and messengers
Dispatchers,234,710,96,764,138,669,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Dispatchers
"Meter readers, utilities",25,0,22,0,3,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Meter readers, utilities"
Postal service clerks,98,978,43,0,56,935,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Postal service clerks
Postal service mail carriers,274,966,178,1025,95,851,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Postal service mail carriers
"Postal service mail sorters, processors, and processing machine operators",51,979,22,0,29,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Postal service mail sorters, processors, and processing machine operators"
"Production, planning, and expediting clerks",208,837,96,1024,111,738,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Production, planning, and expediting clerks"
"Shipping, receiving, and traffic clerks",545,592,376,603,169,576,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Shipping, receiving, and traffic clerks"
Stock clerks and order fillers,995,508,658,504,337,514,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Stock clerks and order fillers
"Weighers, measurers, checkers, and samplers, recordkeeping",77,646,45,0,32,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Weighers, measurers, checkers, and samplers, recordkeeping"
Secretaries and administrative assistants,2342,691,126,811,2215,685,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Secretaries and administrative assistants
Computer operators,72,764,34,0,37,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer operators
Data entry keyers,246,626,51,673,195,618,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Data entry keyers
Word processors and typists,77,622,14,0,63,629,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Word processors and typists
Desktop publishers,0,0,0,0,0,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Desktop publishers
Insurance claims and policy processing clerks,275,647,50,709,225,632,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,Insurance claims and policy processing clerks
"Mail clerks and mail machine operators, except postal service",61,567,28,0,33,0,2014,Total,Sales and office occupations,Office and administrative support occupations,Office and administrative support occupations,"Mail clerks and mail machine operators, except postal service"
